District,Avg House Sales Price (TL/m2)
Adalar,10676
Arnavutköy,3684
Ataşehir,6303
Avcılar,4023
Bağcılar,4236
Bahçelievler,4455
Bakırköy,10838
Başakşehir,6743
Bayrampaşa,4340
Beşiktaş,19070
Beykoz,12308
Beylikdüzü,4004
Beyoğlu,7580
Büyükçekmece,5017
Çatalca,3294
Çekmeköy,3975
Esenler,3090
Esenyurt,2875
Eyüpsultan,5860
Fatih,5099
Gaziosmanpaşa,4073
Güngören,3909
Kadıköy,9994
Kağıthane,4861
Kartal,4795
Küçükçekmece,4474
Maltepe,4950
Pendik,3912
Sancaktepe,3566
Sarıyer,21251
Silivri,3252
Sultanbeyli,3611
Sultangazi,3125
Şile,5467
Şişli,7604
Tuzla,4679
Ümraniye,4440
Üsküdar,7522
Zeytinburnu,5148
